100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,96,100,100,100,100,100,100,100,100,100,100,100,100,100,100
100,100,100,86,100,94,100,100,100,100,100,100,100,100,100,100,100,100,100,100,88,100,100,100,100,100,100,100,100,100
100,100,100,100,100,87,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,98,100,100,91,100,100,100
100,100,100,100,100,100,100,100,100,91,98,100,100,100,100,82,99,100,100,100,100,100,100,100,100,100,100,100,100,100
100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,97,77,100,100,100,100,100,100,100,100,100,100
100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
100,100,100,100,100,100,100,94,93,95,100,100,100,100,100,100,100,100,96,85,89,100,100,100,100,100,100,100,100,100
100,100,100,85,89,100,100,100,100,100,100,100,100,96,100,98,100,100,95,100,100,100,100,100,100,100,100,100,99,100
92,87,93,96,100,100,100,98,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,94,92,91,100
69,73,67,69,79,69,71,68,74,69,73,72,78,69,80,74,68,71,75,77,67,70,70,77,66,71,69,71,53,73
57,57,41,43,44,42,30,30,36,32,31,33,32,44,35,37,46,55,42,50,33,32,41,35,39,38,36,45,43,28
32,33,32,32,32,30,26,24,27,30,32,37,27,32,31,30,30,31,26,30,25,29,28,31,31,29,32,31,29,36
0,2,1,0,0,1,0,1,1,3,1,3,2,3,3,1,0,2,1,1,4,2,1,2,2,0,0,3,1,4
0,0,13,0,0,2,1,0,20,0,0,0,0,17,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0
0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,12,10,0,0
0,0,8,9,0,0,0,0,0,0,6,4,2,0,0,0,0,2,3,0,0,6,0,0,3,9,0,0,0,0
0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
