2626.9924,2186.2522,2528.0618,2797.0469,2521.2822,2187.4521,2644.8501,2557.2761,1987.2671,1942.339,2323.9722,2690.9712,2265.8594,2681.6399,2695.7439,2456.6172,2815.5696,2768.012,2404.3228,3263.8149,2204.8728
2598.8208,2685.3645,2017.2708,2111.2439,2248.9648,2623.5208,2640.1104,2634.6982,1989.6244,2029.3445,1977.948,2702.8152,2448.0625,2344.6799,2195.8401,2767.197,2664.8184,2284.4858,2663.6812,3008.2849,3073.8794
2246.6772,2671.3049,2339.7517,2036.3438,2479.0261,2822.5955,2642.4802,2637.0444,2211.2178,1970.557,2639.6021,2605.6938,2782.1016,2007.72,2693.408,2708.8174,2119.7947,2693.2639,2502.4583,3080.2979,2847.3831
2596.4734,2586.948,2718.7256,1956.7626,2699.697,2578.4919,2493.1741,2343.7788,2661.4763,2664.2495,2658.3062,2046.6541,1959.8516,2723.76,2702.752,2237.1096,2047.8978,2709.615,1951.0295,3261.4919,3159.3933
2657.5115,2584.6047,2123.1951,2593.4126,2807.6848,2557.1626,2630.6306,2583.0835,2574.2534,2450.2629,2669.9961,2027.7036,2193.4453,2398.5,2723.7759,2433.2654,2694.9685,2891.8132,2925.3762,1935.059,3018.4109
2119.9053,2558.8291,2605.7395,2270.4062,2622.2273,2478.9546,2640.1104,2625.3137,2593.1123,2748.9036,2677.01,2629.3818,2569.5312,2695.6799,2557.9199,2311.8354,2667.1377,2711.9509,2705.7393,2192.9119,2949.0752
2549.5208,2549.4561,1970.1934,2565.325,2295.9163,2315.429,2459.9951,2622.9675,2758.1287,2807.6912,2796.248,2918.377,2200.4531,2693.3398,2004.288,2725.1638,2674.0955,2709.615,2904.3472,2915.365,3094.6802
2617.6018,2584.6047,2631.6321,2256.3625,2610.4895,2595.0815,2263.2903,2843.5034,2875.9973,2581.947,2625.574,2698.0774,2688.6641,2744.8198,2700.416,2706.4822,2349.4004,2723.6304,2514.1411,1907.183,3087.7466
2554.2161,2816.5864,2638.6938,2701.0813,2810.0325,2820.2256,2436.2957,2571.3528,2635.5452,2389.1243,2833.656,2686.2334,1985.5469,1998.36,2912.9919,2704.147,2697.2878,2702.6074,2334.2258,2638.928,2299.6316
2303.0203,2619.7537,2617.509,2303.175,2612.8372,2552.4226,2407.8564,2641.7366,2022.6277,2690.116,2669.9961,2338.0181,2667.6406,2698.02,2693.408,2680.7952,2671.7761,2709.615,2722.0952,2964.1479,2849.6941
2582.3875,2593.9778,2636.3398,2588.7312,2056.4648,2715.9482,2841.5549,1935.553,2614.3289,2633.6799,2859.374,2916.0083,2431.7109,2468.7,2378.0479,2685.4656,2412.02,2177.0356,2254.7827,3152.311,2188.6946
2493.1777,2479.1584,2636.3398,2598.0938,2582.3188,2606.9312,1981.2677,2292.1641,2576.6108,2556.0806,1928.8501,2695.7087,2216.8047,2457,2700.416,2704.147,2827.1658,2511.0657,2724.4316,1925.767,3083.124
2246.6772,2572.8884,2768.157,2565.325,2582.3188,2580.8618,2651.96,2831.7727,2213.575,2581.947,2733.1221,2707.5527,2840.5,2852.46,2707.4241,2694.8064,2639.3066,2298.501,2722.0952,3068.6829,3263.3967
