2.2,1,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
5.7,1,100,100,100,100,100,100,100,100,99,100,100,100,100,99,100,100,100,100,100,100,100,99,100,100,100,100,97,99,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,98,100,100,99,100,100,100,100,100,100,100,100,100,100,99,100,100,100,100,100,100,99,99,100,99,100,100,97,100,100,100,100,100,100,100,100,100,100,99,99,100,100,100,95,100,100,100,100,97,100
8.3,1,96,92,93,94,98,93,99,97,98,97,89,98,99,92,91,98,94,88,93,88,95,93,97,98,97,97,100,99,97,93,85,94,97,93,87,94,95,88,93,99,100,97,82,98,96,97,98,98,99,95,98,91,86,94,99,96,95,93,91,95,98,96,100,99,99,99,100,96,100,98,98,92,87,83,95,87,89,90,86,88,98,89,88,84,83,93,96,100,88,93,93,94,93,85,90,90,92,93,86,86
10.4,1,96,98,88,87,89,94,93,95,94,93,82,90,90,93,86,85,86,82,94,88,90,96,85,87,88,88,94,93,96,90,87,85,86,83,72,86,85,79,86,86,88,90,87,82,82,79,78,78,77,76,85,79,80,84,81,87,85,86,84,86,88,82,82,83,83,87,85,85,87,84,88,83,90,87,84,87,84,88,88,85,85,85,84,86,81,77,77,82,82,87,87,78,87,85,85,78,78,84,83,81
13.1,1,97,87,73,93,75,93,87,81,83,86,72,90,82,86,82,86,88,83,78,72,81,67,87,82,84,83,75,87,63,70,64,78,69,85,71,67,79,90,78,72,86,89,77,71,74,82,82,73,88,75,67,76,68,78,82,65,75,74,72,73,68,60,76,82,81,64,74,66,66,73,73,74,69,62,63,66,70,73,64,61,68,69,75,76,68,80,76,83,84,89,75,78,78,82,91,94,90,89,86,79
17.3,1,67,61,66,63,68,72,72,69,70,68,62,67,62,67,62,61,68,63,71,74,68,58,72,70,70,74,73,71,65,60,67,66,56,69,62,61,75,64,56,71,76,82,75,68,65,67,73,67,72,65,61,62,69,66,70,66,62,65,61,66,59,68,66,59,63,72,73,66,65,69,63,62,67,75,67,63,67,68,66,64,66,65,65,62,64,66,65,72,66,67,68,77,81,78,71,79,68,84,74,80
19.9,1,87,85,83,88,86,85,91,87,91,84,85,86,80,87,85,85,89,90,87,87,87,91,91,90,90,94,84,91,90,87,90,89,94,88,86,83,92,85,81,89,90,87,84,87,87,88,86,82,87,82,82,85,83,85,84,84,91,84,88,92,85,89,81,87,86,87,88,89,91,94,88,90,83,95,94,96,84,87,85,84,84,86,84,82,91,92,84,89,89,92,91,83,80,90,81,87,95,85,87,84
22.8,1,42,45,41,35,41,40,48,55,69,45,44,42,46,37,33,40,35,19,26,46,41,41,44,39,43,35,34,50,48,56,42,43,56,48,44,44,38,30,20,11,10,6,12,16,23,9,6,17,13,14,6,0,0,0,0,0,5,0,0,0,0,0,1,1,1,1,4,6,8,10,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25.9,1,5,37,35,42,27,6,21,23,14,50,22,53,40,43,48,38,36,45,53,47,26,23,20,24,16,25,36,32,45,33,20,31,29,15,20,25,12,20,10,16,15,27,38,42,43,30,28,32,22,10,22,20,46,56,54,49,41,32,29,46,36,31,36,19,14,29,40,38,46,44,48,53,60,35,22,17,31,46,45,40,47,47,54,48,61,51,56,61,57,55,65,46,53,52,56,62,50,58,56,46
28.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
