100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99,100,100,100,100,100,100,100
100,99,100,100,100,100,100,100,100,100,100,100,100,100,100,99,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99,98,99,99,99,100,99,100,100
100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99,97,92,96,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
100,100,100,100,100,100,99,99,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99,100,100,99,99,95,96,95,89,86,90,97,97,100,100,100,99,100,100,100,100,100,100,100,100,100,100,99,99,99,100,100,100,100,100,100
100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99,100,100,100,100,100,100,99,100,100,100,100,100,100,100,99,100,100,100,100,100,97,100,100,99,99,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99,100,100,100,100,100,100,100,100,100,99,100,100,100,100,100,100,100,100,99,100,100,100,100,100,100,99,100,100
98,98,91,92,97,99,99,98,94,100,98,96,97,97,99,96,95,97,97,98,97,86,95,97,97,95,94,96,96,97,99,100,96,99,98,99,100,99,100,100,98,98,100,90,97,100,99,99,98,83,91,93,98,96,95,98,97,96,96,95,99,98,100,97,100,99,99,100,97,100,99,99,97,100,99,100,99,99,99,100,100,99,100,99,99,96,100,100,100,99,100,99,97,98,97,100,100,99,99,100
100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99,100,100,100,100,100,100,100,100,100,100,100,99,100,100,100,100,100
57,83,58,70,68,74,57,51,56,57,64,76,68,71,54,74,87,83,68,58,78,95,91,64,59,53,69,59,75,69,57,63,85,98,100,100,89,73,85,96,91,79,62,62,62,73,71,59,56,63,74,81,57,64,95,97,96,94,63,69,38,78,84,83,84,72,83,52,49,70,66,52,50,59,75,68,82,89,73,54,66,60,60,70,60,54,70,88,86,56,82,94,96,93,80,46,97,90,81,92
91,96,92,91,94,94,94,98,98,92,93,90,86,96,90,97,90,90,95,96,89,95,92,91,94,91,94,94,91,88,93,97,94,94,98,94,86,92,86,85,83,93,87,88,92,87,86,81,87,79,81,78,80,67,73,79,82,79,87,90,89,90,79,87,83,88,82,82,88,80,83,87,91,86,84,85,87,83,81,85,89,91,96,87,88,88,93,94,89,88,85,78,87,91,85,85,95,92,83,95
60,57,56,61,56,60,58,61,51,51,61,63,58,52,59,62,57,59,62,58,44,51,53,49,49,44,49,45,46,58,64,63,51,55,58,56,49,38,27,30,50,47,17,35,37,37,51,32,31,18,5,11,22,16,26,25,43,36,43,37,41,42,41,37,39,56,48,62,51,49,66,50,56,42,41,46,46,54,57,67,58,54,64,55,61,56,66,61,61,61,53,48,51,48,39,22,14,21,19,15
