BATCH,TIME_MS,PWR_W,PWR_Z,RX_W,TX_W,RX_Z,TX_Z
1,270,21,5,5279,5470,1341,1530
2,14360,21,-6,5322,5470,1142,1530
3,28808,9,-3,5155,5470,1319,1530
4,43580,10,-6,5381,5470,1228,1530
5,58372,9,-3,5356,5470,1138,1530
6,72710,10,-6,5408,5470,1323,1530
7,87312,9,-3,5369,5470,1468,1530
8,101711,10,-6,5376,5470,942,1530
9,116170,9,-3,5214,5470,965,1530
10,130531,10,-6,5215,5470,1400,1530
11,144948,9,-3,5091,5470,1392,1530
12,159091,10,-6,5187,5470,1328,1530
13,173304,9,-3,5088,5470,1199,1530
14,187460,10,-6,5205,5470,1319,1530
15,202009,9,-3,5143,5470,1369,1530
16,216381,10,-6,5182,5470,1238,1530
17,230639,9,-3,5118,5470,1472,1530
18,244979,10,-6,5139,5470,1348,1530
19,259252,9,-3,5062,5470,1333,1530
20,273632,10,-6,5185,5470,1493,1530
21,288531,9,-3,5123,5470,1283,1530
22,303040,10,-6,5169,5470,1290,1530
23,317979,9,-3,5029,5470,1127,1530
24,332349,10,-6,5185,5470,1146,1530
25,347673,9,-3,5073,5470,1311,1530
26,362267,10,-6,5189,5470,1292,1530
27,376576,9,-3,5129,5470,1331,1530
28,390790,10,-6,5204,5470,1313,1530
29,405199,9,-3,5102,5470,1328,1530
30,419571,10,-6,5209,5470,1261,1530
done,433369
