BATCH,TIME_MS,PWR_W,PWR_Z,RX_W,TX_W,RX_Z,TX_Z
1,261,21,5,773,781,216,219
2,14951,19,4,729,781,212,219
3,29763,19,3,764,781,212,219
4,43708,17,2,718,781,196,219
5,58509,17,3,723,781,102,219
6,72503,17,4,768,781,207,219
7,86480,15,4,775,781,213,219
8,101455,13,3,754,781,209,219
9,115466,11,3,702,781,211,219
10,130252,13,2,764,781,213,219
11,144215,11,1,738,781,213,219
12,159160,11,0,705,781,214,219
13,173960,11,-3,761,781,135,219
14,187867,9,0,680,781,67,219
15,201856,11,1,765,781,93,219
16,215796,9,2,702,781,211,219
17,230583,11,1,702,781,212,219
18,245376,13,0,739,781,211,219
19,260117,13,-3,765,781,213,219
20,274045,11,-6,742,781,143,219
21,288926,11,-3,702,781,210,219
22,303724,13,-3,756,781,107,219
23,317655,11,0,756,781,107,219
24,331586,9,1,696,781,213,219
25,346344,11,0,757,781,212,219
26,361272,9,-3,747,781,211,219
27,376203,9,-6,743,781,213,219
28,390384,9,-6,750,781,198,219
29,405397,7,-6,642,781,214,219
30,420355,9,-6,748,781,210,219
done,434708
