BATCH,TIME_MS,PWR_W,PWR_Z,RX_W,TX_W,RX_Z,TX_Z
1,1186,21,5,759,767,218,233
2,16032,21,-6,689,767,213,233
3,30861,off,-3,0,0,954,1000
4,45062,off,0,0,0,949,1000
5,59268,off,1,0,0,960,1000
6,73451,off,2,0,0,961,1000
7,87658,off,3,0,0,946,1000
8,101861,off,4,0,0,953,1000
9,116052,off,5,0,0,945,1000
10,130254,19,-6,762,767,221,233
11,145263,off,-3,0,0,963,1000
12,159462,off,0,0,0,959,1000
13,173668,off,1,0,0,938,1000
14,187854,off,2,0,0,944,1000
15,202061,off,3,0,0,947,1000
16,216248,off,4,0,0,964,1000
17,230456,off,5,0,0,950,1000
18,244652,19,-6,760,767,225,233
19,259527,off,-3,0,0,959,1000
20,273520,off,0,0,0,959,1000
21,287528,off,1,0,0,956,1000
22,301515,off,2,0,0,956,1000
23,315502,off,3,0,0,946,1000
24,329502,off,4,0,0,945,1000
25,343508,off,5,0,0,965,1000
26,357493,19,-6,763,767,217,233
27,372453,off,-3,0,0,957,1000
28,386641,off,0,0,0,961,1000
29,400847,off,1,0,0,942,1000
30,415036,off,2,0,0,965,1000
done,428642
