BATCH,TIME_MS,PWR_W,PWR_Z,RX_W,TX_W,RX_Z,TX_Z
1,1220,21,5,713,759,157,241
2,16129,21,-6,734,759,65,241
3,30166,off,2,0,0,666,1000
4,44131,off,5,0,0,649,1000
5,58347,19,-6,738,759,219,241
6,73316,off,-3,0,0,728,1000
7,87507,off,0,0,0,943,1000
8,101688,off,1,0,0,378,1000
9,115882,off,3,0,0,710,1000
10,129867,off,5,0,0,846,1000
11,143859,19,-6,739,759,52,241
12,158886,9,1,733,759,232,241
13,173720,off,2,0,0,776,1000
14,187921,off,5,0,0,875,1000
15,202102,19,-6,710,759,84,241
16,217119,off,3,0,0,737,1000
17,231309,off,5,0,0,779,1000
18,245501,19,-6,714,759,0,241
19,260329,9,-3,661,759,206,241
20,275148,off,0,0,0,778,1000
21,289324,off,1,0,0,817,1000
22,303523,off,2,0,0,776,1000
23,317753,off,5,0,0,705,1000
24,331906,19,-6,692,759,173,241
25,346732,off,-3,0,0,769,1000
26,360921,off,0,0,0,769,1000
27,375127,off,1,0,0,813,1000
28,389327,off,2,0,0,946,1000
29,403524,off,3,0,0,724,1000
30,417721,off,5,0,0,459,1000
done,431318
