BATCH,TIME_MS,PWR_W,PWR_Z,RX_W,TX_W,RX_Z,TX_Z
1,281,21,5,2181,2344,647,656
2,14961,21,4,2203,2344,518,656
3,29652,21,5,2218,2344,506,656
4,44352,21,5,2244,2344,646,656
5,59170,21,4,2232,2344,543,656
6,73125,21,5,2232,2344,586,656
7,87898,21,5,2226,2344,551,656
8,101847,21,5,2267,2344,651,656
9,116543,19,4,2317,2344,641,656
10,131338,17,3,2317,2344,479,656
11,146080,15,4,2288,2344,646,656
12,160694,13,3,2271,2344,648,656
13,175335,11,2,2302,2344,642,656
14,190058,9,1,2284,2344,555,656
15,204853,7,2,2120,2344,623,656
16,219646,7,2,1998,2344,585,656
17,234454,9,3,2297,2344,646,656
18,249279,7,2,2124,2344,619,656
19,264065,7,2,1921,2344,641,656
20,278863,9,1,2288,2344,523,656
21,293565,7,2,1500,2344,550,656
22,308256,9,3,1927,2344,541,656
23,323004,11,4,2115,2344,646,656
24,337589,11,3,2120,2344,644,656
25,352259,11,2,2265,2344,459,656
26,367057,9,3,2164,2344,649,656
27,381719,9,2,2197,2344,630,656
28,396417,9,1,2205,2344,643,656
29,411067,9,0,2147,2344,542,656
30,425800,9,1,2151,2344,420,656
done,439904
