BATCH,TIME_MS,PWR_W,PWR_Z,RX_W,TX_W,RX_Z,TX_Z
1,1207,21,5,781,781,211,219
2,16130,19,4,715,781,214,219
3,30897,19,3,713,781,213,219
4,45696,19,2,781,781,207,219
5,59649,17,2,779,781,211,219
6,73604,15,1,779,781,210,219
7,88520,13,1,722,781,212,219
8,103322,13,0,778,781,212,219
9,117479,11,-3,736,781,214,219
10,132269,11,-6,754,781,208,219
11,147078,9,-6,728,781,198,219
12,161859,9,-6,712,781,204,219
13,176660,9,-6,753,781,189,219
14,190640,7,-3,736,781,212,219
15,205398,7,-6,671,781,199,219
16,220170,9,-6,731,781,205,219
17,234939,9,-6,772,781,189,219
18,248881,7,-3,672,781,211,219
19,263679,9,-6,781,781,212,219
20,277619,7,-6,731,781,208,219
21,291545,7,-6,647,781,205,219
22,305502,9,-6,767,781,190,219
23,319450,7,-3,720,781,212,219
24,333463,7,-6,697,781,212,219
25,348290,9,-6,741,781,211,219
26,363080,9,-6,734,781,210,219
27,377873,9,-6,766,781,209,219
28,392800,7,-6,773,781,215,219
29,406768,5,-6,736,781,214,219
30,420690,5,-6,737,781,212,219
done,434069
