BATCH,TIME_MS,PWR_W,PWR_Z,RX_W,TX_W,RX_Z,TX_Z
1,1196,21,5,3823,3838,1133,1162
2,15572,19,4,3827,3838,1124,1162
3,29979,17,3,3790,3838,1124,1162
4,44367,15,2,3808,3838,1132,1162
5,58777,13,1,3815,3838,1129,1162
6,73167,11,0,3825,3838,1118,1162
7,87568,9,-3,3817,3838,1136,1162
8,102032,7,-6,3568,3838,1124,1162
9,116389,7,-6,3429,3838,976,1162
10,130775,9,-3,3828,3838,1131,1162
11,145241,7,-6,3455,3838,967,1162
12,159729,7,-3,3545,3838,1127,1162
13,174179,7,-6,3298,3838,1062,1162
14,188752,9,-6,3801,3838,1085,1162
15,203151,7,-6,3341,3838,1014,1162
16,217654,9,-3,3821,3838,1143,1162
17,232258,7,-6,3087,3838,947,1162
18,246856,9,-3,3831,3838,1147,1162
19,261269,7,-6,3064,3838,982,1162
20,276075,9,-3,3821,3838,1151,1162
21,290438,7,-6,3261,3838,1004,1162
22,304952,9,-3,3804,3838,1145,1162
23,319299,7,-6,2989,3838,1098,1162
24,333906,9,-6,3806,3838,1142,1162
25,348205,7,-6,3436,3838,1124,1162
26,362508,9,-6,3822,3838,1132,1162
27,376864,7,-6,3144,3838,1077,1162
28,391253,9,-6,3814,3838,1112,1162
29,405653,7,-6,3390,3838,1026,1162
30,420060,9,-3,3802,3838,1151,1162
done,433901
