BATCH,TIME_MS,PWR_W,PWR_Z,RX_W,TX_W,RX_Z,TX_Z
1,1206,21,5,3795,3799,1155,1201
2,16040,21,-6,3788,3799,1015,1201
3,30750,9,-3,3641,3799,1095,1201
4,45490,10,-6,3777,3799,653,1201
5,59940,11,-6,3779,3799,1028,1201
6,74764,9,-3,3620,3799,1134,1201
7,89446,10,-6,3730,3799,898,1201
8,104159,9,-3,3612,3799,1096,1201
9,118768,10,-6,3726,3799,537,1201
10,133462,9,5,3621,3799,1172,1201
11,148148,10,-6,3754,3799,646,1201
12,162814,11,-6,3790,3799,729,1201
13,177502,9,-3,3629,3799,1117,1201
14,192129,10,-6,3767,3799,1010,1201
15,206987,9,-3,3658,3799,1103,1201
16,221662,10,-6,3754,3799,76,1201
17,236200,11,off,4993,5000,0,0
18,250592,12,off,4993,5000,0,0
19,264627,13,off,4989,5000,0,0
20,278955,14,off,4986,5000,0,0
21,293605,15,off,4996,5000,0,0
22,307959,9,-6,3720,3799,739,1201
23,322652,10,-6,3696,3799,873,1201
24,337377,9,-3,3687,3799,554,1201
25,352054,9,5,3608,3799,1163,1201
26,366857,10,-6,3783,3799,863,1201
27,381400,9,-3,3588,3799,1084,1201
28,396106,10,-6,3748,3799,850,1201
29,410562,9,-3,3611,3799,260,1201
30,425260,9,1,3584,3799,1150,1201
done,439249
