BATCH,TIME_MS,PWR_W,PWR_Z,RX_W,TX_W,RX_Z,TX_Z
1,1216,21,5,3797,3799,1161,1201
2,15856,19,4,3787,3799,1159,1201
3,30297,17,3,3785,3799,1159,1201
4,44754,15,2,3783,3799,1145,1201
5,59363,13,2,3751,3799,1120,1201
6,73930,11,2,3782,3799,1168,1201
7,88546,9,1,3749,3799,1110,1201
8,103147,7,1,3224,3799,1157,1201
9,117705,9,0,3613,3799,997,1201
10,132297,9,1,3647,3799,1157,1201
11,147108,9,0,3766,3799,1159,1201
12,161509,7,-3,3508,3799,1092,1201
13,175921,7,-3,3179,3799,1128,1201
14,190411,9,-3,3579,3799,1113,1201
15,205116,9,-3,3660,3799,1149,1201
16,219593,7,-3,3648,3799,1166,1201
17,233901,5,-6,3143,3799,668,1201
18,248699,7,-3,3540,3799,1036,1201
19,263829,7,0,3198,3799,1040,1201
20,278549,9,1,3736,3799,1156,1201
21,293172,7,0,3487,3799,1159,1201
22,307731,7,-3,3279,3799,1164,1201
23,322497,9,-6,3736,3799,1123,1201
24,336974,7,-6,3517,3799,740,1201
25,351687,7,-3,3456,3799,1121,1201
26,366060,7,-3,3415,3799,1153,1201
27,380620,9,-6,3647,3799,955,1201
28,395357,9,-3,3752,3799,1119,1201
29,410149,7,-3,3250,3799,1145,1201
30,424925,9,-3,3577,3799,1150,1201
done,439169
