BATCH,TIME_MS,PWR_W,PWR_Z,RX_W,TX_W,RX_Z,TX_Z
1,1196,21,5,740,759,238,241
2,16007,19,4,740,759,144,241
3,30795,17,5,657,759,200,241
4,45751,19,5,720,759,233,241
5,60527,19,4,733,759,140,241
6,75327,17,5,740,759,127,241
7,89340,15,5,711,759,228,241
8,104139,15,5,752,759,115,241
9,119057,13,5,753,759,234,241
10,132968,11,4,659,759,229,241
11,147759,13,4,751,759,79,241
12,161697,11,5,670,759,233,241
13,176489,13,4,684,759,231,241
14,191240,13,4,654,759,181,241
15,205998,15,5,718,759,229,241
16,220805,15,5,703,759,225,241
17,235557,15,5,675,759,40,241
18,250359,17,5,739,759,220,241
19,264376,15,5,671,759,126,241
20,279149,17,5,743,759,166,241
21,293059,15,5,671,759,231,241
22,307857,17,5,737,759,129,241
23,321858,15,5,733,759,142,241
24,336640,13,5,693,759,235,241
25,351388,13,4,691,759,119,241
26,366137,13,5,663,759,144,241
27,380948,15,5,692,759,232,241
28,395727,15,4,730,759,163,241
29,410518,13,5,736,759,235,241
30,424459,11,4,731,759,198,241
done,437840
