BATCH,TIME_MS,PWR_W,PWR_Z,RX_W,TX_W,RX_Z,TX_Z
1,1186,21,5,2259,2279,696,721
2,15929,21,-6,2236,2279,654,721
3,30647,9,-3,2245,2279,684,721
4,45400,10,-6,2253,2279,646,721
5,59990,9,-3,2235,2279,692,721
6,74781,10,-6,2250,2279,629,721
7,89390,9,-3,2259,2279,589,721
8,104076,10,-6,2239,2279,647,721
9,118743,9,-3,2230,2279,677,721
10,133479,10,-6,2247,2279,663,721
11,148074,9,-3,2251,2279,688,721
12,162831,10,-6,2249,2279,50,721
13,177430,11,off,2999,3000,0,0
14,191495,12,off,2954,3000,0,0
15,205634,13,off,2994,3000,0,0
16,219840,14,off,2996,3000,0,0
17,234235,15,off,2956,3000,0,0
18,248285,9,-6,2227,2279,649,721
19,262881,10,-6,2254,2279,610,721
20,277412,9,-3,2228,2279,670,721
21,292021,10,-6,2255,2279,654,721
22,306714,9,-3,2253,2279,682,721
23,321443,10,-6,2250,2279,645,721
24,336140,9,-3,2224,2279,689,721
25,350742,10,-6,2228,2279,625,721
26,365431,9,-3,2216,2279,635,721
27,380121,10,-6,2241,2279,636,721
28,394896,9,-3,2240,2279,263,721
29,409700,9,3,2245,2279,703,721
30,424484,10,-6,2234,2279,327,721
done,438479
