BATCH,TIME_MS,PWR_W,PWR_Z,RX_W,TX_W,RX_Z,TX_Z
1,1197,21,5,781,781,215,219
2,16132,21,-6,780,781,201,219
3,30161,off,-3,0,0,958,1000
4,44169,off,0,0,0,956,1000
5,58167,off,1,0,0,952,1000
6,72166,off,2,0,0,948,1000
7,86169,off,3,0,0,964,1000
8,100160,off,4,0,0,948,1000
9,114158,off,5,0,0,964,1000
10,128169,19,-6,781,781,205,219
11,143118,off,-3,0,0,960,1000
12,157113,off,0,0,0,963,1000
13,171109,off,1,0,0,965,1000
14,185114,off,2,0,0,956,1000
15,199112,off,3,0,0,951,1000
16,213099,off,4,0,0,966,1000
17,227127,off,5,0,0,950,1000
18,241094,19,-6,781,781,209,219
19,256038,off,-3,0,0,960,1000
20,270253,off,0,0,0,956,1000
21,284477,off,1,0,0,943,1000
22,298640,off,2,0,0,962,1000
23,312834,off,3,0,0,949,1000
24,327040,off,4,0,0,966,1000
25,341236,off,5,0,0,953,1000
26,355434,19,-6,728,781,176,219
27,370450,off,-3,0,0,961,1000
28,384615,off,0,0,0,958,1000
29,398806,off,1,0,0,955,1000
30,413017,off,2,0,0,959,1000
done,426610
