BATCH,TIME_MS,PWR_W,PWR_Z,RX_W,TX_W,RX_Z,TX_Z
1,1216,21,5,6988,7033,1925,1967
2,15338,19,4,7019,7033,1929,1967
3,29821,17,3,7014,7033,1912,1967
4,44058,15,2,7002,7033,1906,1967
5,58397,13,1,7024,7033,1928,1967
6,72467,11,0,7013,7033,1919,1967
7,86738,9,-3,7021,7033,1900,1967
8,101271,7,-6,6495,7033,1891,1967
9,115528,7,-6,6631,7033,1894,1967
10,129668,7,-6,6281,7033,1863,1967
11,144238,9,-6,7022,7033,1889,1967
12,158460,7,-6,6002,7033,1862,1967
13,172661,9,-6,6969,7033,1876,1967
14,186712,7,-6,6562,7033,1849,1967
15,201033,7,-6,6638,7033,1880,1967
16,215176,7,-6,6522,7033,1856,1967
17,229156,7,-6,6465,7033,1859,1967
18,243478,7,-6,6556,7033,1871,1967
19,257667,7,-6,6105,7033,1892,1967
20,271871,9,-6,7026,7033,1890,1967
21,285960,7,-6,6226,7033,1890,1967
22,300080,9,-6,6978,7033,1881,1967
23,314226,7,-6,6626,7033,1908,1967
24,329017,7,-6,6570,7033,1860,1967
25,343057,7,-6,6251,7033,1879,1967
26,357236,9,-6,7023,7033,1902,1967
27,371192,7,-6,6407,7033,1857,1967
28,385325,7,-6,6685,7033,1868,1967
29,399685,7,-6,6378,7033,1874,1967
30,413889,7,-6,6418,7033,1881,1967
done,427528
