BATCH,TIME_MS,PWR_W,PWR_Z,RX_W,TX_W,RX_Z,TX_Z
1,1197,21,5,7028,7033,1913,1967
2,15532,21,-6,7024,7033,1898,1967
3,29778,9,-3,6922,7033,1915,1967
4,43968,10,-6,7010,7033,1875,1967
5,57954,9,-3,7019,7033,1927,1967
6,71947,10,-6,7017,7033,1909,1967
7,85974,9,-3,6960,7033,1911,1967
8,100167,10,-6,7011,7033,1908,1967
9,114154,9,-3,6998,7033,1925,1967
10,128155,10,-6,7023,7033,1878,1967
11,142353,9,-3,7014,7033,1926,1967
12,156422,10,-6,6961,7033,1882,1967
13,170600,9,-3,7018,7033,1920,1967
14,184718,10,-6,7011,7033,1848,1967
15,198994,9,-3,6994,7033,1908,1967
16,212973,10,-6,6966,7033,1848,1967
17,227233,9,-3,7012,7033,1909,1967
18,241428,10,-6,6985,7033,1882,1967
19,255585,9,-3,7015,7033,1930,1967
20,270587,10,-6,6975,7033,1872,1967
21,285360,9,-3,7002,7033,1927,1967
22,299526,10,-6,7013,7033,1891,1967
23,314540,9,-3,6994,7033,1912,1967
24,328645,10,-6,7013,7033,1880,1967
25,342869,9,-3,6976,7033,1911,1967
26,357021,10,-6,7009,7033,1909,1967
27,372543,9,-3,7012,7033,1914,1967
28,386878,10,-6,7026,7033,1853,1967
29,401130,9,-3,7028,7033,1932,1967
30,415234,10,-6,7004,7033,1882,1967
done,428729
