BATCH,TIME_MS,PWR_W,PWR_Z,RX_W,TX_W,RX_Z,TX_Z
1,1216,21,5,2275,2279,705,721
2,15741,19,4,2270,2279,691,721
3,30381,17,4,2262,2279,672,721
4,45155,15,4,2272,2279,699,721
5,59928,13,3,2274,2279,684,721
6,74745,11,3,2251,2279,708,721
7,89293,9,2,2257,2279,686,721
8,104055,7,2,2003,2279,701,721
9,118777,9,1,2250,2279,671,721
10,133377,7,1,2015,2279,703,721
11,148098,9,0,2272,2279,690,721
12,162746,7,0,2067,2279,702,721
13,177486,7,-3,1889,2279,677,721
14,192107,9,-3,2276,2279,481,721
15,206757,7,0,2145,2279,685,721
16,221311,7,0,2077,2279,694,721
17,236025,7,-3,2015,2279,230,721
18,250655,9,0,2274,2279,683,721
19,265379,7,0,1273,2279,668,721
20,280340,9,0,2273,2279,695,721
21,295058,7,-3,1906,2279,637,721
22,309831,9,0,2267,2279,667,721
23,324539,7,0,2135,2279,689,721
24,339138,7,0,1923,2279,694,721
25,353739,9,-3,2276,2279,660,721
26,368350,7,-3,1988,2279,663,721
27,382959,9,-3,2248,2279,666,721
28,397562,7,-3,2147,2279,649,721
29,412086,7,-3,2102,2279,664,721
30,426658,7,-3,2112,2279,651,721
done,440632
