BATCH,TIME_MS,PWR_W,PWR_Z,RX_W,TX_W,RX_Z,TX_Z
1,271,21,5,2304,2344,501,656
2,14900,21,-6,2335,2344,509,656
3,29018,9,-3,2317,2344,639,656
4,43761,10,-6,2313,2344,512,656
5,57932,9,-3,2306,2344,507,656
6,72723,10,-6,2295,2344,290,656
7,86783,9,5,2135,2344,545,656
8,101529,10,-6,2190,2344,505,656
9,116310,9,-3,2148,2344,638,656
10,131101,10,-6,2199,2344,420,656
11,145202,9,-3,1812,2344,463,656
12,159931,9,0,1630,2344,622,656
13,174808,8,1,1638,2344,452,656
14,189529,8,5,2183,2344,492,656
15,204458,9,-6,2268,2344,638,656
16,219337,10,-6,2258,2344,628,656
17,233706,9,-3,2249,2344,510,656
18,248515,10,-6,2284,2344,494,656
19,262715,9,-3,2199,2344,381,656
20,277374,10,-6,2267,2344,643,656
21,292318,9,-3,2242,2344,647,656
22,307121,10,-6,2226,2344,349,656
23,321883,11,-6,2285,2344,602,656
24,336126,9,-3,2278,2344,540,656
25,350907,10,-6,2251,2344,523,656
26,364957,9,-3,2249,2344,538,656
27,379642,10,-6,2237,2344,637,656
28,393687,9,-3,2220,2344,643,656
29,408477,10,-6,2199,2344,641,656
30,423110,9,-3,2282,2344,645,656
done,437715
