BATCH,TIME_MS,PWR_W,PWR_Z,RX_W,TX_W,RX_Z,TX_Z
1,1196,21,5,2287,2302,676,698
2,15874,19,4,2275,2302,687,698
3,30466,17,3,2278,2302,687,698
4,44967,15,2,2296,2302,689,698
5,59520,13,1,2294,2302,685,698
6,74084,11,0,2292,2302,687,698
7,88654,9,-3,2294,2302,680,698
8,103286,7,-6,2047,2302,652,698
9,117859,9,-6,2292,2302,640,698
10,132558,7,-6,2133,2302,663,698
11,147155,7,-6,2179,2302,638,698
12,161794,7,-6,2045,2302,660,698
13,176394,9,-6,2269,2302,628,698
14,190997,7,-3,2117,2302,682,698
15,205675,7,-6,2163,2302,662,698
16,220199,7,-6,2090,2302,656,698
17,234749,7,-6,2125,2302,667,698
18,249290,7,-6,2116,2302,650,698
19,263863,7,-6,2143,2302,665,698
20,278453,7,-6,2149,2302,656,698
21,293052,7,-6,2099,2302,646,698
22,307713,7,-6,2183,2302,640,698
23,322313,7,-6,2121,2302,645,698
24,336913,7,-6,2072,2302,629,698
25,351552,7,-6,2103,2302,652,698
26,366150,7,-6,2026,2302,621,698
27,380911,9,-3,2295,2302,688,698
28,395463,7,-6,1916,2302,607,698
29,410062,9,-3,2285,2302,680,698
30,424660,7,-6,2027,2302,641,698
done,438940
