BATCH,TIME_MS,PWR_W,PWR_Z,RX_W,TX_W,RX_Z,TX_Z
1,1216,21,5,3830,3838,1151,1162
2,15691,21,-6,3804,3838,1113,1162
3,29987,9,-3,3828,3838,1151,1162
4,44390,10,-6,3759,3838,1130,1162
5,58700,9,-3,3827,3838,1150,1162
6,73019,10,-6,3829,3838,1148,1162
7,87423,9,-3,3820,3838,1143,1162
8,101758,10,-6,3834,3838,1120,1162
9,116161,9,-3,3827,3838,1146,1162
10,130548,10,-6,3819,3838,1107,1162
11,145162,9,-3,3833,3838,1143,1162
12,159617,10,-6,3826,3838,1069,1162
13,174065,9,-3,3807,3838,1124,1162
14,188795,10,-6,3819,3838,1039,1162
15,203260,9,-3,3827,3838,1141,1162
16,217761,10,-6,3820,3838,1106,1162
17,232362,9,-3,3827,3838,1136,1162
18,246751,10,-6,3807,3838,1098,1162
19,261212,9,-3,3828,3838,1142,1162
20,275599,10,-6,3835,3838,1131,1162
21,289975,9,-3,3816,3838,1139,1162
22,304230,10,-6,3832,3838,1092,1162
23,318783,9,-3,3821,3838,1133,1162
24,333348,10,-6,3831,3838,1127,1162
25,347803,9,-3,3798,3838,1134,1162
26,362169,10,-6,3832,3838,1099,1162
27,376774,9,-3,3807,3838,504,1162
28,391217,9,4,3799,3838,1118,1162
29,405769,10,-6,3834,3838,1133,1162
30,420132,9,-3,3781,3838,1135,1162
done,433880
