BATCH,TIME_MS,PWR_W,PWR_Z,RX_W,TX_W,RX_Z,TX_Z
1,1187,21,5,5353,5373,1597,1627
2,15322,19,4,5343,5373,1596,1627
3,29448,17,3,5341,5373,1596,1627
4,43579,15,2,5342,5373,1600,1627
5,57807,13,1,5332,5373,1580,1627
6,72106,11,0,5332,5373,1591,1627
7,86297,9,-3,5287,5373,1586,1627
8,100500,7,-6,4913,5373,1554,1627
9,114692,7,-6,5088,5373,1542,1627
10,128893,7,-6,4894,5373,1525,1627
11,142988,7,-6,5028,5373,1401,1627
12,157165,7,-3,5090,5373,1568,1627
13,171178,7,-6,4937,5373,1494,1627
14,185367,7,-6,5053,5373,1551,1627
15,199521,7,-6,4985,5373,1378,1627
16,213797,7,-3,4999,5373,1585,1627
17,228114,7,-6,5066,5373,1546,1627
18,242382,7,-6,4871,5373,1514,1627
19,256750,7,-6,4974,5373,1552,1627
20,270942,7,-6,5010,5373,1577,1627
21,285479,7,-6,4918,5373,1578,1627
22,299529,7,-6,4937,5373,1591,1627
23,313736,7,-6,4942,5373,1588,1627
24,327939,7,-6,4861,5373,1594,1627
25,342140,7,-6,4673,5373,1569,1627
26,356431,9,-6,5357,5373,1593,1627
27,370766,7,-6,4829,5373,1574,1627
28,384948,9,-6,5344,5373,1581,1627
29,399077,7,-6,4811,5373,1574,1627
30,413362,9,-6,5330,5373,1573,1627
done,426871
