BATCH	TIME_MS	| PWR_W	PWR_Z	| RX_W	TX_W	| RX_Z	TX_Z
1	1206	| off	5	| 0	0	| 2212	2370
2	15137	| off	5	| 0	0	| 2109	2370
3	29136	| off	5	| 0	0	| 2243	2370
4	43135	| off	5	| 0	0	| 2266	2370
5	57133	| off	5	| 0	0	| 2263	2370
6	71113	| off	5	| 0	0	| 1992	2370
7	85133	| off	5	| 0	0	| 1741	2370
8	99137	| off	5	| 0	0	| 2048	2370
9	113314	| off	5	| 0	0	| 1961	2370
10	127338	| off	5	| 0	0	| 1787	2370
11	141347	| off	5	| 0	0	| 2200	2370
12	155339	| off	5	| 0	0	| 2226	2370
13	169537	| off	5	| 0	0	| 1915	2370
14	183525	| off	5	| 0	0	| 614	2370
15	197549	| off	5	| 0	0	| 2161	2370
16	211524	| off	5	| 0	0	| 1684	2370
17	225515	| off	5	| 0	0	| 2015	2370
18	239515	| off	5	| 0	0	| 1971	2370
19	253708	| off	5	| 0	0	| 1061	2370
20	267533	| off	5	| 0	0	| 1502	2370
21	281516	| off	5	| 0	0	| 2258	2370
22	295527	| off	5	| 0	0	| 2231	2370
23	309515	| off	5	| 0	0	| 1717	2370
24	323548	| off	5	| 0	0	| 2261	2370
25	337515	| off	5	| 0	0	| 2224	2370
26	351339	| off	5	| 0	0	| 2261	2370
27	365538	| off	5	| 0	0	| 2147	2370
28	379539	| off	5	| 0	0	| 2264	2370
29	393550	| off	5	| 0	0	| 2231	2370
30	407548	| off	5	| 0	0	| 2269	2370
done	420970
