BATCH,TIME_MS,PWR_W,PWR_Z,RX_W,TX_W,RX_Z,TX_Z
1,271,off,5,0,0,2123,2370
2,14278,off,5,0,0,2050,2370
3,28078,off,5,0,0,2153,2370
4,41879,off,5,0,0,2148,2370
5,55688,off,5,0,0,2039,2370
6,69877,off,5,0,0,1908,2370
7,83678,off,5,0,0,2175,2370
8,97485,off,5,0,0,2095,2370
9,111695,off,5,0,0,2151,2370
10,125880,off,5,0,0,2160,2370
11,139679,off,5,0,0,2154,2370
12,153479,off,5,0,0,2140,2370
13,167485,off,5,0,0,1844,2370
14,181291,off,5,0,0,1932,2370
15,195283,off,5,0,0,2144,2370
16,209482,off,5,0,0,2052,2370
17,223286,off,5,0,0,2069,2370
18,237095,off,5,0,0,1848,2370
19,251283,off,5,0,0,1940,2370
20,265096,off,5,0,0,2155,2370
21,279309,off,5,0,0,2068,2370
22,294086,off,5,0,0,2048,2370
23,308287,off,5,0,0,1991,2370
24,322489,off,5,0,0,2027,2370
25,337288,off,5,0,0,2169,2370
26,351489,off,5,0,0,2007,2370
27,365693,off,5,0,0,2152,2370
28,379886,off,5,0,0,1990,2370
29,393888,off,5,0,0,2028,2370
30,408685,off,5,0,0,2103,2370
done,421936
