BATCH,TIME_MS,PWR_W,PWR_Z,RX_W,TX_W,RX_Z,TX_Z
1,1182,off,5,0,0,2273,2370
2,15334,off,5,0,0,2246,2370
3,29535,off,5,0,0,2255,2370
4,43744,off,5,0,0,2260,2370
5,57931,off,5,0,0,2232,2370
6,72136,off,5,0,0,2259,2370
7,86304,off,5,0,0,2255,2370
8,100332,off,5,0,0,2255,2370
9,114541,off,5,0,0,2263,2370
10,128735,off,5,0,0,2252,2370
11,142943,off,5,0,0,2261,2370
12,157134,off,5,0,0,2278,2370
13,171333,off,4,0,0,2244,2370
14,185540,off,4,0,0,2271,2370
15,199741,off,4,0,0,2250,2370
16,213937,off,4,0,0,2258,2370
17,228149,off,4,0,0,2262,2370
18,242345,off,4,0,0,2255,2370
19,256532,off,4,0,0,2255,2370
20,270747,off,4,0,0,2219,2370
21,284948,off,4,0,0,2270,2370
22,299123,off,4,0,0,2266,2370
23,313344,off,4,0,0,2260,2370
24,327538,off,4,0,0,2263,2370
25,341735,off,4,0,0,2264,2370
26,355929,off,4,0,0,2270,2370
27,370147,off,4,0,0,2272,2370
28,384134,off,4,0,0,2234,2370
29,398344,off,4,0,0,2261,2370
30,412345,off,4,0,0,2186,2370
done,425766
