BATCH	TIME_MS	| PWR_W	PWR_Z	| RX_W	TX_W	| RX_Z	TX_Z
1	1203	| off	5	| 0	0	| 2240	2370
2	15134	| off	5	| 0	0	| 2256	2370
3	29156	| off	5	| 0	0	| 2258	2370
4	43143	| off	5	| 0	0	| 2263	2370
5	57153	| off	5	| 0	0	| 2249	2370
6	71132	| off	5	| 0	0	| 2205	2370
7	85166	| off	5	| 0	0	| 2245	2370
8	99132	| off	5	| 0	0	| 2225	2370
9	113163	| off	5	| 0	0	| 2234	2370
10	127167	| off	5	| 0	0	| 2131	2370
11	141139	| off	5	| 0	0	| 2261	2370
12	155136	| off	5	| 0	0	| 2246	2370
13	169164	| off	5	| 0	0	| 2212	2370
14	183165	| off	5	| 0	0	| 2086	2370
15	197151	| off	5	| 0	0	| 2253	2370
16	211151	| off	5	| 0	0	| 2258	2370
17	225155	| off	5	| 0	0	| 2249	2370
18	239142	| off	5	| 0	0	| 2246	2370
19	253757	| off	5	| 0	0	| 2248	2370
20	267755	| off	5	| 0	0	| 2264	2370
21	281735	| off	5	| 0	0	| 2257	2370
22	295734	| off	5	| 0	0	| 2264	2370
23	309745	| off	5	| 0	0	| 2216	2370
24	323734	| off	5	| 0	0	| 2245	2370
25	337764	| off	5	| 0	0	| 2254	2370
26	351756	| off	5	| 0	0	| 2183	2370
27	365733	| off	5	| 0	0	| 2241	2370
28	379767	| off	5	| 0	0	| 2253	2370
29	393735	| off	5	| 0	0	| 2216	2370
30	407756	| off	5	| 0	0	| 2250	2370
done	421187
