BATCH	TIME_MS	| PWR_W	PWR_Z	| RX_W	TX_W	| RX_Z	TX_Z
1	1228	| off	5	| 0	0	| 2255	2370
2	15349	| off	5	| 0	0	| 2220	2370
3	29343	| off	5	| 0	0	| 2239	2370
4	43343	| off	5	| 0	0	| 2248	2370
5	57324	| off	5	| 0	0	| 2229	2370
6	71339	| off	5	| 0	0	| 2266	2370
7	85336	| off	5	| 0	0	| 2244	2370
8	99317	| off	5	| 0	0	| 2249	2370
9	113326	| off	5	| 0	0	| 2237	2370
10	127314	| off	5	| 0	0	| 2092	2370
11	141338	| off	5	| 0	0	| 1939	2370
12	155334	| off	5	| 0	0	| 2235	2370
13	169336	| off	5	| 0	0	| 2234	2370
14	183345	| off	5	| 0	0	| 2257	2370
15	197345	| off	5	| 0	0	| 2252	2370
16	211338	| off	5	| 0	0	| 2216	2370
17	225334	| off	5	| 0	0	| 2250	2370
18	239308	| off	5	| 0	0	| 2241	2370
19	253335	| off	5	| 0	0	| 2260	2370
20	267345	| off	5	| 0	0	| 2221	2370
21	281338	| off	5	| 0	0	| 2254	2370
22	295349	| off	5	| 0	0	| 2224	2370
23	309346	| off	5	| 0	0	| 2227	2370
24	323336	| off	5	| 0	0	| 2244	2370
25	337330	| off	5	| 0	0	| 2244	2370
26	351318	| off	5	| 0	0	| 2256	2370
27	365339	| off	5	| 0	0	| 2240	2370
28	379340	| off	5	| 0	0	| 2252	2370
29	393339	| off	5	| 0	0	| 2250	2370
30	407350	| off	5	| 0	0	| 2264	2370
done	420760
