BATCH	TIME_MS	| PWR_W	PWR_Z	| RX_W	TX_W	| RX_Z	TX_Z
1	1186	| off	5	| 0	0	| 2020	2370
2	15353	| off	5	| 0	0	| 2070	2370
3	29546	| off	5	| 0	0	| 2191	2370
4	43738	| off	5	| 0	0	| 2268	2370
5	57946	| off	5	| 0	0	| 2155	2370
6	72137	| off	5	| 0	0	| 2001	2370
7	86137	| off	5	| 0	0	| 2041	2370
8	100324	| off	5	| 0	0	| 2231	2370
9	114326	| off	5	| 0	0	| 2260	2370
10	128348	| off	5	| 0	0	| 2273	2370
11	142547	| off	5	| 0	0	| 2278	2370
12	156554	| off	4	| 0	0	| 2277	2370
13	170716	| off	3	| 0	0	| 2267	2370
14	184716	| off	3	| 0	0	| 2276	2370
15	198716	| off	2	| 0	0	| 2286	2370
16	212715	| off	1	| 0	0	| 2266	2370
17	226749	| off	1	| 0	0	| 2280	2370
18	240741	| off	0	| 0	0	| 2259	2370
19	254726	| off	0	| 0	0	| 2275	2370
20	268759	| off	0	| 0	0	| 2265	2370
21	282961	| off	0	| 0	0	| 2277	2370
22	297149	| off	-3	| 0	0	| 2249	2370
23	311351	| off	-3	| 0	0	| 2268	2370
24	325560	| off	-3	| 0	0	| 2251	2370
25	339752	| off	-3	| 0	0	| 2280	2370
26	353926	| off	-6	| 0	0	| 2228	2370
27	367951	| off	-6	| 0	0	| 2260	2370
28	381928	| off	-6	| 0	0	| 2257	2370
29	395938	| off	-6	| 0	0	| 2230	2370
30	409952	| off	-6	| 0	0	| 2263	2370
done	423381
