BATCH,TIME_MS,PWR_W,PWR_Z,RX_W,TX_W,RX_Z,TX_Z
1,279,off,5,0,0,2123,2370
2,14361,off,5,0,0,2057,2370
3,28359,off,5,0,0,2005,2370
4,42357,off,5,0,0,2044,2370
5,56359,off,5,0,0,1928,2370
6,70389,off,5,0,0,2104,2370
7,84590,off,5,0,0,2081,2370
8,98796,off,5,0,0,2080,2370
9,112970,off,5,0,0,2007,2370
10,127193,off,5,0,0,2001,2370
11,141370,off,5,0,0,2170,2370
12,155391,off,5,0,0,2020,2370
13,169406,off,5,0,0,2066,2370
14,183400,off,5,0,0,2058,2370
15,197396,off,5,0,0,2164,2370
16,211377,off,5,0,0,1946,2370
17,225391,off,5,0,0,1917,2370
18,239416,off,5,0,0,2090,2370
19,253400,off,5,0,0,2061,2370
20,267400,off,5,0,0,1930,2370
21,281385,off,5,0,0,2168,2370
22,295400,off,5,0,0,1905,2370
23,309388,off,5,0,0,1911,2370
24,323397,off,5,0,0,1995,2370
25,337411,off,5,0,0,1995,2370
26,351407,off,5,0,0,2022,2370
27,365397,off,5,0,0,2027,2370
28,379395,off,5,0,0,1960,2370
29,393398,off,5,0,0,2004,2370
30,407377,off,5,0,0,2059,2370
done,420831
