BATCH,TIME_MS,PWR_W,PWR_Z,RX_W,TX_W,RX_Z,TX_Z
1,281,off,5,0,0,830,1000
2,14349,off,5,0,0,956,1000
3,28376,off,5,0,0,894,1000
4,42376,off,5,0,0,955,1000
5,56552,off,5,0,0,837,1000
6,70383,off,5,0,0,833,1000
7,84380,off,5,0,0,859,1000
8,98360,off,5,0,0,947,1000
9,112357,off,5,0,0,959,1000
10,126357,off,5,0,0,936,1000
11,140358,off,5,0,0,876,1000
12,154388,off,5,0,0,937,1000
13,168371,off,5,0,0,770,1000
14,182360,off,5,0,0,844,1000
15,196373,off,5,0,0,848,1000
16,210363,off,5,0,0,827,1000
17,224376,off,5,0,0,909,1000
18,238375,off,5,0,0,944,1000
19,252376,off,5,0,0,907,1000
20,266366,off,5,0,0,936,1000
21,280382,off,5,0,0,864,1000
22,294371,off,5,0,0,963,1000
23,308380,off,4,0,0,943,1000
24,322368,off,4,0,0,838,1000
25,336584,off,5,0,0,953,1000
26,350575,off,5,0,0,794,1000
27,364572,off,5,0,0,950,1000
28,378576,off,5,0,0,884,1000
29,392586,off,5,0,0,788,1000
30,406578,off,5,0,0,915,1000
done,420020
