BATCH	TIME_MS	| PWR_W	PWR_Z	| RX_W	TX_W	| RX_Z	TX_Z
1	1196	| off	5	| 0	0	| 2257	2370
2	15133	| off	5	| 0	0	| 2265	2370
3	29107	| off	5	| 0	0	| 2268	2370
4	43107	| off	5	| 0	0	| 2262	2370
5	57105	| off	5	| 0	0	| 2261	2370
6	71122	| off	5	| 0	0	| 2263	2370
7	85117	| off	5	| 0	0	| 2266	2370
8	99112	| off	5	| 0	0	| 2261	2370
9	113117	| off	5	| 0	0	| 1728	2370
10	127124	| off	5	| 0	0	| 2224	2370
11	141109	| off	5	| 0	0	| 2151	2370
12	155118	| off	5	| 0	0	| 2260	2370
13	169118	| off	5	| 0	0	| 2268	2370
14	183123	| off	5	| 0	0	| 2224	2370
15	197108	| off	5	| 0	0	| 2253	2370
16	211109	| off	5	| 0	0	| 2252	2370
17	225112	| off	5	| 0	0	| 2212	2370
18	239119	| off	5	| 0	0	| 2229	2370
19	253110	| off	5	| 0	0	| 2239	2370
20	267108	| off	5	| 0	0	| 2248	2370
21	281111	| off	5	| 0	0	| 2246	2370
22	295109	| off	5	| 0	0	| 2260	2370
23	309112	| off	5	| 0	0	| 2257	2370
24	323124	| off	5	| 0	0	| 2260	2370
25	337135	| off	5	| 0	0	| 2256	2370
26	351118	| off	5	| 0	0	| 2255	2370
27	365110	| off	5	| 0	0	| 2272	2370
28	379109	| off	5	| 0	0	| 2274	2370
29	393110	| off	5	| 0	0	| 2272	2370
30	407114	| off	5	| 0	0	| 2269	2370
done	420559
