BATCH,TIME_MS,PWR_W,PWR_Z,RX_W,TX_W,RX_Z,TX_Z
1,1217,off,5,0,0,2266,2370
2,15105,off,5,0,0,2263,2370
3,29112,off,5,0,0,2236,2370
4,43108,off,5,0,0,2253,2370
5,57111,off,5,0,0,2256,2370
6,71111,off,5,0,0,2258,2370
7,85108,off,5,0,0,2273,2370
8,99107,off,5,0,0,2278,2370
9,113110,off,4,0,0,2253,2370
10,127114,off,4,0,0,2277,2370
11,141118,off,3,0,0,2264,2370
12,155113,off,3,0,0,2241,2370
13,169118,off,3,0,0,2240,2370
14,183109,off,3,0,0,2240,2370
15,197119,off,3,0,0,2229,2370
16,211122,off,3,0,0,2257,2370
17,225121,off,3,0,0,2280,2370
18,239119,off,2,0,0,2261,2370
19,253109,off,2,0,0,2253,2370
20,267119,off,2,0,0,2262,2370
21,281109,off,2,0,0,2275,2370
22,295123,off,2,0,0,2244,2370
23,309112,off,2,0,0,2267,2370
24,323110,off,2,0,0,2230,2370
25,337120,off,2,0,0,2255,2370
26,351109,off,2,0,0,2260,2370
27,365110,off,2,0,0,2269,2370
28,379112,off,2,0,0,2270,2370
29,393125,off,2,0,0,2268,2370
30,407111,off,2,0,0,2270,2370
done,420560
