BATCH,TIME_MS,PWR_W,PWR_Z,RX_W,TX_W,RX_Z,TX_Z
1,1206,off,5,0,0,2272,2370
2,15116,off,5,0,0,2258,2370
3,29131,off,5,0,0,2264,2370
4,43121,off,5,0,0,2261,2370
5,57117,off,5,0,0,2262,2370
6,71117,off,5,0,0,2242,2370
7,85137,off,5,0,0,2259,2370
8,99121,off,5,0,0,2250,2370
9,113130,off,5,0,0,2259,2370
10,127131,off,5,0,0,2244,2370
11,141133,off,5,0,0,2209,2370
12,155131,off,5,0,0,2270,2370
13,169142,off,5,0,0,2270,2370
14,183132,off,5,0,0,2259,2370
15,197146,off,5,0,0,2251,2370
16,211119,off,5,0,0,2242,2370
17,225121,off,5,0,0,2252,2370
18,239122,off,5,0,0,2268,2370
19,253120,off,5,0,0,2253,2370
20,267134,off,5,0,0,2248,2370
21,281119,off,5,0,0,2236,2370
22,295122,off,5,0,0,2271,2370
23,309132,off,5,0,0,2265,2370
24,323119,off,5,0,0,2248,2370
25,337124,off,5,0,0,2266,2370
26,351130,off,5,0,0,2250,2370
27,365124,off,5,0,0,2260,2370
28,379120,off,5,0,0,2235,2370
29,393120,off,5,0,0,2247,2370
30,407132,off,5,0,0,2266,2370
done,420570
