BATCH,TIME_MS,PWR_W,PWR_Z,RX_W,TX_W,RX_Z,TX_Z
1,1193,off,5,0,0,2274,2370
2,15106,off,5,0,0,2272,2370
3,29105,off,5,0,0,2271,2370
4,43104,off,5,0,0,2261,2370
5,57102,off,5,0,0,2265,2370
6,71107,off,5,0,0,2274,2370
7,85107,off,5,0,0,2249,2370
8,99105,off,5,0,0,2274,2370
9,113108,off,5,0,0,2269,2370
10,127115,off,5,0,0,2257,2370
11,141117,off,5,0,0,2261,2370
12,155131,off,5,0,0,2283,2370
13,169117,off,4,0,0,2268,2370
14,183117,off,4,0,0,2271,2370
15,197121,off,4,0,0,2233,2370
16,211110,off,4,0,0,2267,2370
17,225118,off,4,0,0,2254,2370
18,239105,off,4,0,0,2275,2370
19,253107,off,4,0,0,2273,2370
20,267108,off,4,0,0,2268,2370
21,281108,off,4,0,0,2281,2370
22,295106,off,3,0,0,2281,2370
23,309119,off,2,0,0,2276,2370
24,323106,off,1,0,0,2260,2370
25,337133,off,1,0,0,2268,2370
26,351123,off,1,0,0,2262,2370
27,365114,off,1,0,0,2244,2370
28,379107,off,1,0,0,2255,2370
29,393110,off,1,0,0,2278,2370
30,407108,off,0,0,0,2236,2370
done,420556
