BATCH,TIME_MS,PWR_W,PWR_Z,RX_W,TX_W,RX_Z,TX_Z
1,1196,off,5,0,0,2235,2370
2,15141,off,5,0,0,2260,2370
3,29344,off,5,0,0,2274,2370
4,43334,off,5,0,0,2258,2370
5,57310,off,5,0,0,2230,2370
6,71314,off,5,0,0,2267,2370
7,85318,off,5,0,0,2267,2370
8,99348,off,5,0,0,2213,2370
9,113326,off,5,0,0,2241,2370
10,127325,off,5,0,0,2234,2370
11,141338,off,5,0,0,2239,2370
12,155310,off,5,0,0,2224,2370
13,169339,off,5,0,0,2276,2370
14,183340,off,4,0,0,2241,2370
15,197539,off,4,0,0,2255,2370
16,211509,off,4,0,0,2264,2370
17,225547,off,4,0,0,2264,2370
18,239516,off,4,0,0,2261,2370
19,253533,off,4,0,0,2201,2370
20,267530,off,4,0,0,2236,2370
21,281515,off,4,0,0,2265,2370
22,295550,off,4,0,0,2258,2370
23,309512,off,4,0,0,2261,2370
24,323529,off,4,0,0,2222,2370
25,337546,off,4,0,0,2252,2370
26,351529,off,4,0,0,2261,2370
27,365524,off,4,0,0,2249,2370
28,379540,off,4,0,0,2256,2370
29,393551,off,4,0,0,2206,2370
30,407540,off,4,0,0,2251,2370
done,420971
