BATCH,TIME_MS,PWR_W,PWR_Z,RX_W,TX_W,RX_Z,TX_Z
1,1227,off,5,0,0,952,1000
2,15317,off,5,0,0,958,1000
3,29316,off,5,0,0,961,1000
4,43317,off,4,0,0,960,1000
5,57334,off,3,0,0,961,1000
6,71318,off,2,0,0,969,1000
7,85322,off,1,0,0,943,1000
8,99329,off,1,0,0,955,1000
9,113317,off,1,0,0,946,1000
10,127329,off,1,0,0,950,1000
11,141338,off,1,0,0,958,1000
12,155361,off,1,0,0,963,1000
13,169328,off,0,0,0,928,1000
14,183330,off,0,0,0,959,1000
15,197329,off,0,0,0,960,1000
16,211342,off,-3,0,0,933,1000
17,225332,off,-3,0,0,953,1000
18,239331,off,-3,0,0,959,1000
19,253329,off,-3,0,0,954,1000
20,267334,off,-3,0,0,962,1000
21,281334,off,-6,0,0,912,1000
22,295332,off,-6,0,0,934,1000
23,309340,off,-6,0,0,940,1000
24,323328,off,-6,0,0,880,1000
25,337342,off,-3,0,0,959,1000
26,351330,off,-3,0,0,960,1000
27,365344,off,-6,0,0,919,1000
28,379330,off,-6,0,0,913,1000
29,393341,off,-6,0,0,939,1000
30,407340,off,-6,0,0,893,1000
done,420778
