BATCH,TIME_MS,PWR_W,PWR_Z,RX_W,TX_W,RX_Z,TX_Z
1,1226,off,5,0,0,2252,2370
2,15332,off,5,0,0,2237,2370
3,29341,off,5,0,0,2240,2370
4,43339,off,5,0,0,2203,2370
5,57329,off,5,0,0,2241,2370
6,71342,off,5,0,0,2248,2370
7,85340,off,5,0,0,2240,2370
8,99340,off,5,0,0,2229,2370
9,113326,off,5,0,0,2237,2370
10,127329,off,5,0,0,2236,2370
11,141358,off,5,0,0,2220,2370
12,155332,off,5,0,0,2253,2370
13,169358,off,5,0,0,2219,2370
14,183331,off,5,0,0,2255,2370
15,197365,off,5,0,0,2202,2370
16,211345,off,5,0,0,2235,2370
17,225343,off,5,0,0,2236,2370
18,239332,off,5,0,0,2249,2370
19,253341,off,5,0,0,2268,2370
20,267328,off,5,0,0,2248,2370
21,281358,off,5,0,0,2249,2370
22,295357,off,5,0,0,2254,2370
23,309344,off,5,0,0,2265,2370
24,323329,off,5,0,0,2234,2370
25,337346,off,5,0,0,2268,2370
26,351336,off,5,0,0,2247,2370
27,365336,off,5,0,0,2269,2370
28,379339,off,5,0,0,2248,2370
29,393340,off,5,0,0,2250,2370
30,407347,off,5,0,0,2267,2370
done,420805
