BATCH	TIME_MS	| PWR_W	PWR_Z	| RX_W	TX_W	| RX_Z	TX_Z
1	1216	| 21	5	| 5357	5401	| 1532	1599
2	17842	| 21	-6	| 5400	5401	| 1338	1599
3	38641	| 9	-3	| 5360	5401	| 1408	1599
4	60720	| 10	-6	| 5340	5401	| 1334	1599
5	82382	| 9	-3	| 5250	5401	| 1355	1599
done	95779
