BATCH	TIME_MS	| PWR_W	PWR_Z	| RX_W	TX_W	| RX_Z	TX_Z
1	1186	| 21	5	| 4101	5401	| 1599	1599
2	16587	| 21	5	| 4393	5401	| 1599	1599
3	32692	| 21	5	| 4312	5401	| 1598	1599
4	48386	| 21	5	| 4363	5401	| 1598	1599
5	64367	| 21	5	| 0	5401	| 1598	1599
done	77894
