BATCH	TIME_MS	| PWR_W	PWR_Z	| RX_W	TX_W	| RX_Z	TX_Z
1	1216	| 21	5	| 4416	5401	| 1532	1599
2	17922	| 21	-6	| 4416	5401	| 1315	1599
3	38971	| 9	-3	| 4181	5401	| 1378	1599
4	60995	| 9	0	| 4407	5401	| 1526	1599
5	77025	| 9	0	| 4183	5401	| 1527	1599
done	90754
