BATCH	TIME_MS	| PWR_W	PWR_Z	| RX_W	TX_W	| RX_Z	TX_Z
1	1220	| 21	off	| 5761	7000	| 0	0
2	17864	| 21	off	| 5720	7000	| 0	0
3	33864	| 21	off	| 5787	7000	| 0	0
4	50666	| 21	off	| 5592	7000	| 0	0
5	67270	| 21	off	| 5582	7000	| 0	0
done	81164
