BATCH	TIME_MS	| PWR_W	PWR_Z	| RX_W	TX_W	| RX_Z	TX_Z
1	1229	| 21	off	| 6962	7000	| 0	0
2	16926	| 19	off	| 6998	7000	| 0	0
3	33021	| 17	off	| 6995	7000	| 0	0
4	49216	| 15	off	| 6990	7000	| 0	0
5	66087	| 13	off	| 6967	7000	| 0	0
done	80117
