BATCH	TIME_MS	| PWR_W	PWR_Z	| RX_W	TX_W	| RX_Z	TX_Z
1	1225	| 21	5	| 5308	5401	| 1534	1599
2	16569	| 21	1	| 5331	5401	| 1530	1599
3	32690	| 9	5	| 5118	5401	| 1525	1599
4	48375	| 10	1	| 5368	5401	| 1533	1599
5	64195	| 11	1	| 5356	5401	| 1531	1599
done	77852
