BATCH	TIME_MS	| PWR_W	PWR_Z	| RX_W	TX_W	| RX_Z	TX_Z
1	1228	| 21	5	| 5388	5401	| 1534	1599
2	16890	| 21	5	| 5132	5401	| 1523	1599
3	32893	| 21	5	| 5326	5401	| 1533	1599
4	48615	| 21	5	| 259	5401	| 1532	1599
5	64252	| 21	5	| 5347	5401	| 1532	1599
done	78103
